MEDICARE PROVIDER/SUPPLIER TYPE DESCRIPTION,PROVIDER TAXONOMY CODE,SPECIALTY UNI,Cat.,
Physician/Interventional Radiology,2085R0204X,"Allopathic & Osteopathic Physicians/Radiology, Vascular and Interventional Radiology",BAD,
Physician/Interventional Radiology,2085H0002X,Hospice & Palliative Medicine,BAD,
Physician/Emergency Medicine,207P00000X,Allopathic & Osteopathic Physicians/Emergency Medicine,BAD,
Physician/Emergency Medicine,207PE0004X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Emergency Medical Services",BAD,
Physician/Emergency Medicine,207PH0002X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Hospice and Palliative Medicine",BAD,
Physician/Emergency Medicine,207PT0002X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Medical Toxicology",BAD,
Physician/Emergency Medicine,207PP0204X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Pediatric Emergency Medicine",BAD,
Physician/Emergency Medicine,207PS0010X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Sports Medicine",BAD,
Physician/Emergency Medicine,207PE0005X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Undersea and Hyperbaric Medicine",BAD,
Physician/Radiation Oncology,2085R0001X,"Allopathic & Osteopathic Physicians/Radiology, Radiation Oncology",BAD,
Physician/Surgical Oncology,2086X0206X,"Allopathic & Osteopathic Physicians/Surgery, Surgical Oncology",BAD,
Physician/Medical Oncology,207RX0202X,"Allopathic & Osteopathic Physicians/Internal Medicine, Medical Oncology",BAD,
Certified Clinical Nurse Specialist,364SC1501X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Community Health/Public Health",BAD,
Certified Clinical Nurse Specialist,364SE0003X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Emergency",BAD,
Certified Clinical Nurse Specialist,364SE1400X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Ethics",BAD,
Certified Clinical Nurse Specialist,364SG0600X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Gerontology",BAD,
Certified Clinical Nurse Specialist,364SH1100X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Holistic",BAD,
Certified Clinical Nurse Specialist,364SH0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Home Health",BAD,
Certified Clinical Nurse Specialist,364SI0800X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Informatics",BAD,
Certified Clinical Nurse Specialist,364SL0600X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Long-term Care",BAD,
Certified Clinical Nurse Specialist,364SN0000X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Neonatal",BAD,
Certified Clinical Nurse Specialist,364SX0106X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Occupational Health",BAD,
Certified Clinical Nurse Specialist,364SX0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Oncology",BAD,
Certified Clinical Nurse Specialist,364SX0204X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Oncology, Pediatrics",BAD,
Certified Clinical Nurse Specialist,364SP0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Pediatrics",BAD,
Certified Clinical Nurse Specialist,364SP1700X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Perinatal",BAD,
Certified Clinical Nurse Specialist,364SP2800X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Perioperative",BAD,
Certified Clinical Nurse Specialist,364SP0808X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health",BAD,
Certified Clinical Nurse Specialist,364SP0809X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Adult",BAD,
Certified Clinical Nurse Specialist,364SP0807X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Child & Adolescent",BAD,
Certified Clinical Nurse Specialist,364SP0810X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Child & Family",BAD,
Certified Clinical Nurse Specialist,364SP0811X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Chronically Ill",BAD,
Certified Clinical Nurse Specialist,364SP0812X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Community",BAD,
Certified Clinical Nurse Specialist,364SP0813X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Psychiatric/Mental Health, Geropsychiatric",BAD,
Certified Clinical Nurse Specialist,364SS0200X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, School",BAD,
